DATE,CPIAUCSL,CUSR0000SETG01,CUSR0000SAF116,CPIAPPSL,CUSR0000SAD,CUSR0000SEHF01,CPIENGSL,CPIUFDSL,CUSR0000SEHE,CUSR0000SETB01,CPIHOSSL,CPIMEDSL,CUSR0000SAM1,CUSR0000SETA01,CUUR0000SA0R,CUSR0000SEHA,CUSR0000SAH1,CPITRNSL,CUSR0000SETA02
1990-01-01,127.5,134.8,126.7,119.9,113.3,116.0,98.9,129.7,110.6,92.9,126.1,156.0,157.3,121.3,78.5,135.8,136.3,117.0,119.2
1990-02-01,128.0,138.2,127.0,122.0,113.4,117.2,98.2,130.8,92.8,93.0,126.2,157.1,158.7,121.2,78.2,136.1,136.6,117.2,118.7
1990-03-01,128.6,141.0,127.6,123.8,113.3,117.1,97.6,131.0,89.8,92.3,126.8,158.3,159.7,120.9,77.7,136.7,137.6,117.3,118.5
1990-04-01,128.9,144.1,127.9,124.1,113.2,117.8,97.5,130.8,88.4,92.8,127.1,159.6,160.9,120.8,77.6,137.2,138.2,117.7,118.2
1990-05-01,129.1,145.9,128.6,124.0,113.2,117.5,96.7,131.1,87.5,91.7,127.3,160.8,161.8,120.9,77.4,137.6,138.6,117.5,117.6
1990-06-01,129.9,147.9,129.1,124.2,113.0,117.3,97.3,132.1,85.5,92.6,128.1,162.0,163.0,120.8,77.0,138.2,139.6,118.0,117.3
1990-07-01,130.5,148.8,129.6,124.2,113.2,116.9,97.1,132.8,84.4,93.1,128.7,163.4,163.8,120.8,76.7,138.7,140.7,118.5,117.5
1990-08-01,131.6,149.9,130.0,124.5,113.4,117.1,101.6,133.2,94.4,100.9,129.7,164.8,164.8,121.1,76.0,139.3,141.8,120.7,117.2
1990-09-01,132.5,152.8,130.7,125.4,113.4,117.5,106.5,133.6,107.2,109.3,130.2,165.9,166.0,121.2,75.4,139.7,142.1,123.2,117.2
1990-10-01,133.4,156.6,131.0,125.4,113.8,117.6,110.8,134.1,120.3,116.9,130.6,167.3,167.1,121.8,74.9,140.2,142.4,125.6,116.8
1990-11-01,133.7,159.3,131.2,125.4,113.8,118.3,111.2,134.5,117.2,117.2,130.8,168.7,168.2,122.5,74.8,140.5,142.6,126.1,115.4
1990-12-01,134.2,162.8,131.5,126.2,114.1,117.9,111.0,134.6,113.1,117.6,131.0,169.8,169.5,123.4,74.7,141.0,143.2,126.9,116.3
1991-01-01,134.7,163.2,137.8,126.9,114.5,120.8,108.5,135.0,108.2,110.9,132.0,171.0,170.7,124.2,74.3,141.2,144.2,125.5,116.6
1991-02-01,134.8,164.5,141.7,127.3,115.1,121.5,104.5,135.1,103.0,102.5,132.4,172.1,171.5,124.8,74.2,141.6,144.5,123.9,116.6
1991-03-01,134.8,159.4,141.9,127.0,115.3,121.8,101.9,135.3,97.6,97.8,132.6,173.2,172.8,125.3,74.1,142.1,144.8,122.7,116.8
1991-04-01,135.1,151.9,142.2,127.5,115.5,121.2,101.2,136.1,93.3,97.7,132.7,174.3,173.9,125.5,73.9,142.6,145.2,122.5,117.2
1991-05-01,135.6,151.6,142.4,128.0,115.9,121.8,102.1,136.6,90.5,99.2,133.1,175.2,175.1,125.7,73.7,143.0,145.6,123.2,117.9
1991-06-01,136.0,153.9,142.8,127.9,116.1,120.6,101.1,137.4,90.0,98.2,133.2,176.4,176.3,126.0,73.5,143.2,145.9,123.4,118.4
1991-07-01,136.2,153.8,143.2,128.7,116.5,121.7,100.7,136.7,89.5,96.5,133.6,177.4,177.5,126.3,73.4,143.7,146.4,123.3,119.4
1991-08-01,136.6,155.8,143.7,129.9,116.4,121.4,101.1,136.2,90.2,97.5,133.8,178.8,178.9,126.4,73.2,143.7,146.7,124.0,118.7
1991-09-01,137.0,153.3,144.3,130.0,116.5,122.0,101.5,136.4,91.1,97.6,134.3,179.9,180.0,126.4,72.9,144.4,147.2,124.1,118.4
1991-10-01,137.2,150.2,144.5,130.1,116.5,122.6,101.6,136.2,92.0,96.8,134.7,180.9,180.7,126.7,72.8,144.4,147.7,123.9,118.6
1991-11-01,137.8,150.6,144.4,131.0,116.7,122.1,102.4,136.7,95.3,97.7,135.2,181.9,181.7,127.0,72.6,144.8,148.2,124.5,119.0
1991-12-01,138.2,153.1,144.6,130.7,116.8,123.9,103.1,137.0,93.8,98.8,135.6,183.1,182.1,127.5,72.5,145.1,148.9,125.1,119.1
1992-01-01,138.3,156.0,145.2,130.9,117.1,123.2,101.5,136.6,89.3,97.0,135.9,184.3,183.3,127.6,72.4,145.4,149.4,124.6,118.6
1992-02-01,138.6,154.7,145.7,131.0,117.3,123.1,101.2,137.1,88.7,96.5,136.1,185.6,184.9,127.9,72.2,145.7,149.6,124.5,118.0
1992-03-01,139.1,158.8,146.4,131.3,117.8,123.5,101.2,137.6,88.3,96.8,136.4,186.8,186.2,128.3,71.8,146.5,150.0,125.0,118.6
1992-04-01,139.4,160.7,146.7,130.7,118.1,123.5,101.4,137.5,88.6,96.6,136.7,187.9,187.5,128.6,71.7,146.2,150.2,125.6,120.2
1992-05-01,139.7,155.5,147.1,131.6,118.3,124.3,102.0,137.2,89.5,97.5,136.9,188.7,187.4,129.0,71.6,146.5,150.6,125.9,121.3
1992-06-01,140.1,145.4,147.3,132.1,118.5,124.3,103.3,137.6,91.3,99.8,137.4,189.6,187.9,129.3,71.3,146.7,151.1,126.4,122.5
1992-07-01,140.5,150.1,147.5,132.7,118.7,124.1,103.7,137.4,92.4,100.3,137.7,190.6,188.4,129.3,71.2,147.0,151.4,126.9,123.5
1992-08-01,140.8,147.8,147.6,132.3,118.9,124.1,103.5,138.4,92.8,99.7,137.9,191.5,188.9,129.8,71.0,147.0,151.7,127.0,125.0
1992-09-01,141.1,146.1,148.0,132.2,119.1,124.4,103.6,138.9,92.5,99.6,138.1,192.4,189.6,130.0,70.8,147.1,151.8,127.0,126.2
1992-10-01,141.7,157.6,148.2,132.5,119.4,124.3,104.3,138.9,92.5,100.8,138.6,193.5,190.1,130.0,70.5,147.9,152.5,128.1,127.4
1992-11-01,142.1,164.5,148.6,132.7,119.8,125.0,105.1,138.7,92.3,101.3,139.0,194.5,190.9,130.4,70.4,148.4,152.9,128.7,128.3
1992-12-01,142.3,165.7,148.7,132.8,119.8,126.0,105.3,138.8,90.9,101.7,139.2,195.3,191.5,130.5,70.5,148.5,153.2,128.9,128.0
1993-01-01,142.8,170.7,149.0,132.8,119.8,125.8,105.0,139.1,90.2,101.5,139.6,196.4,192.1,130.9,70.1,148.9,153.8,129.2,127.4
1993-02-01,143.1,174.4,149.1,134.0,119.8,123.5,104.3,139.6,89.8,101.5,139.6,197.4,192.9,131.1,69.9,149.1,154.1,129.6,126.0
1993-03-01,143.3,173.4,149.0,134.0,120.1,125.8,104.9,139.6,91.3,100.7,140.0,198.1,193.3,131.3,69.7,149.1,154.3,129.4,126.6
1993-04-01,143.8,172.1,149.2,134.0,120.4,126.8,104.9,140.0,91.8,99.9,140.6,199.1,193.3,131.7,69.5,149.7,155.0,129.6,128.7
1993-05-01,144.2,176.3,149.2,133.5,120.7,127.1,104.3,141.0,91.2,97.9,140.8,200.5,194.1,132.2,69.3,150.0,155.3,129.9,131.5
1993-06-01,144.3,174.7,149.4,133.0,121.0,127.0,103.9,140.6,91.5,96.5,141.2,201.3,194.7,132.3,69.3,150.4,155.8,129.9,134.3
1993-07-01,144.5,179.6,149.5,132.8,121.2,127.3,103.4,140.6,91.4,95.2,141.3,202.2,195.5,132.9,69.2,150.4,155.9,130.1,136.1
1993-08-01,144.8,179.8,149.8,134.0,121.7,127.2,103.4,141.1,90.5,95.0,141.7,202.8,196.1,133.4,69.0,150.8,156.2,130.5,137.5
1993-09-01,145.0,180.8,150.0,133.7,122.1,127.5,103.0,141.4,89.9,93.9,142.0,203.6,196.4,133.6,68.9,151.0,156.5,130.4,138.7
1993-10-01,145.6,180.8,150.2,133.8,122.5,127.7,105.3,142.0,89.7,98.7,142.3,204.5,196.9,134.2,68.6,151.3,156.9,132.0,139.8
1993-11-01,146.0,188.3,150.4,134.4,122.9,127.0,104.4,142.3,89.2,97.3,142.6,205.1,197.1,134.6,68.6,151.5,157.3,132.2,140.7
1993-12-01,146.3,193.8,150.9,134.1,123.0,126.9,103.7,142.8,87.3,95.8,143.0,205.8,197.5,134.9,68.6,151.9,157.8,132.1,139.3
1994-01-01,146.3,191.5,151.3,133.3,123.2,126.3,102.8,142.9,87.2,94.6,143.2,206.4,198.0,135.3,68.4,152.2,158.2,131.7,136.8
1994-02-01,146.7,191.8,151.0,133.2,123.1,126.6,104.1,142.7,91.1,96.2,143.7,207.2,198.4,135.7,68.2,152.7,158.8,132.3,134.1
1994-03-01,147.1,195.5,151.0,133.8,123.3,126.4,104.3,142.7,90.8,95.8,144.1,207.9,198.6,136.1,67.9,153.2,159.4,132.6,133.6
1994-04-01,147.2,192.3,151.1,133.5,123.5,125.8,103.7,143.0,89.2,95.7,144.0,209.0,199.4,136.4,67.9,153.3,159.5,132.8,135.3
1994-05-01,147.5,182.1,151.2,134.0,124.3,126.3,102.8,143.3,88.5,93.9,144.4,209.7,200.0,137.0,67.8,153.4,159.9,132.4,137.9
1994-06-01,147.9,182.3,151.5,134.8,124.8,126.5,103.1,143.8,88.6,94.9,144.6,210.5,200.4,137.5,67.6,153.5,160.1,133.2,140.9
1994-07-01,148.4,184.7,151.6,134.2,125.3,126.9,104.5,144.6,89.3,97.8,144.8,211.3,201.0,138.1,67.4,154.0,160.4,134.4,142.6
1994-08-01,149.0,187.4,151.5,133.2,125.5,127.1,106.7,145.1,89.5,102.4,145.3,212.2,201.6,138.4,67.1,154.5,161.2,136.0,144.0
