DATE,CUSR0000SAD
1990-01-01,113.300
1990-02-01,113.400
1990-03-01,113.300
1990-04-01,113.200
1990-05-01,113.200
1990-06-01,113.000
1990-07-01,113.200
1990-08-01,113.400
1990-09-01,113.400
1990-10-01,113.800
1990-11-01,113.800
1990-12-01,114.100
1991-01-01,114.500
1991-02-01,115.100
1991-03-01,115.300
1991-04-01,115.500
1991-05-01,115.900
1991-06-01,116.100
1991-07-01,116.500
1991-08-01,116.400
1991-09-01,116.500
1991-10-01,116.500
1991-11-01,116.700
1991-12-01,116.800
1992-01-01,117.100
1992-02-01,117.300
1992-03-01,117.800
1992-04-01,118.100
1992-05-01,118.300
1992-06-01,118.500
1992-07-01,118.700
1992-08-01,118.900
1992-09-01,119.100
1992-10-01,119.400
1992-11-01,119.800
1992-12-01,119.800
1993-01-01,119.800
1993-02-01,119.800
1993-03-01,120.100
1993-04-01,120.400
1993-05-01,120.700
1993-06-01,121.000
1993-07-01,121.200
1993-08-01,121.700
1993-09-01,122.100
1993-10-01,122.500
1993-11-01,122.900
1993-12-01,123.000
1994-01-01,123.200
1994-02-01,123.100
1994-03-01,123.300
1994-04-01,123.500
1994-05-01,124.300
1994-06-01,124.800
1994-07-01,125.300
1994-08-01,125.500
1994-09-01,125.700
1994-10-01,125.900
1994-11-01,126.300
1994-12-01,126.600
1995-01-01,126.900
1995-02-01,127.400
1995-03-01,127.600
1995-04-01,127.900
1995-05-01,128.000
1995-06-01,128.000
1995-07-01,128.000
1995-08-01,128.200
1995-09-01,128.300
1995-10-01,128.400
1995-11-01,128.600
1995-12-01,128.700
1996-01-01,129.000
1996-02-01,129.100
1996-03-01,129.300
1996-04-01,129.200
1996-05-01,129.200
1996-06-01,129.300
1996-07-01,129.300
1996-08-01,129.500
1996-09-01,129.700
1996-10-01,129.600
1996-11-01,129.500
1996-12-01,129.600
1997-01-01,129.400
1997-02-01,129.500
1997-03-01,129.600
1997-04-01,129.300
1997-05-01,129.300
1997-06-01,129.000
1997-07-01,128.600
1997-08-01,128.300
1997-09-01,128.100
1997-10-01,128.100
1997-11-01,127.800
1997-12-01,127.700
1998-01-01,127.800
1998-02-01,127.900
1998-03-01,127.700
1998-04-01,127.800
1998-05-01,127.500
1998-06-01,127.500
1998-07-01,127.800
1998-08-01,127.800
1998-09-01,127.300
1998-10-01,127.100
1998-11-01,127.200
1998-12-01,127.000
1999-01-01,126.700
1999-02-01,126.200
1999-03-01,125.900
1999-04-01,125.900
1999-05-01,125.700
1999-06-01,125.800
1999-07-01,125.900
1999-08-01,126.000
1999-09-01,126.100
1999-10-01,126.100
1999-11-01,125.800
1999-12-01,125.500
2000-01-01,125.300
2000-02-01,125.100
2000-03-01,125.500
2000-04-01,125.400
2000-05-01,125.800
2000-06-01,125.500
2000-07-01,125.400
2000-08-01,125.300
2000-09-01,125.300
2000-10-01,125.200
2000-11-01,125.300
2000-12-01,125.500
2001-01-01,125.500
2001-02-01,125.700
2001-03-01,125.400
2001-04-01,125.200
2001-05-01,124.800
2001-06-01,124.600
2001-07-01,124.400
2001-08-01,124.200
2001-09-01,123.900
2001-10-01,123.900
2001-11-01,124.000
2001-12-01,124.000
2002-01-01,123.200
2002-02-01,122.300
2002-03-01,121.900
2002-04-01,121.700
2002-05-01,121.600
2002-06-01,121.400
2002-07-01,121.300
2002-08-01,121.300
2002-09-01,121.100
2002-10-01,120.900
2002-11-01,120.400
2002-12-01,120.000
2003-01-01,119.500
2003-02-01,119.300
2003-03-01,119.300
2003-04-01,119.000
2003-05-01,118.400
2003-06-01,118.000
2003-07-01,117.600
2003-08-01,117.200
2003-09-01,116.200
2003-10-01,115.500
2003-11-01,115.100
2003-12-01,114.900
2004-01-01,114.800
2004-02-01,114.900
2004-03-01,114.800
2004-04-01,114.700
2004-05-01,114.700
2004-06-01,114.500
2004-07-01,114.300
2004-08-01,114.000
2004-09-01,114.600
2004-10-01,115.000
2004-11-01,115.400
2004-12-01,115.500
2005-01-01,115.700
2005-02-01,115.600
2005-03-01,115.400
2005-04-01,115.300
2005-05-01,115.500
2005-06-01,115.400
2005-07-01,115.000
2005-08-01,114.700
2005-09-01,115.100
2005-10-01,115.100
2005-11-01,115.000
2005-12-01,115.000
2006-01-01,115.000
2006-02-01,114.900
2006-03-01,114.800
2006-04-01,114.900
2006-05-01,114.800
2006-06-01,114.600
2006-07-01,114.700
2006-08-01,114.500
2006-09-01,114.300
2006-10-01,114.000
2006-11-01,113.600
2006-12-01,113.400
2007-01-01,113.079
2007-02-01,112.972
2007-03-01,112.936
2007-04-01,112.805
2007-05-01,112.534
2007-06-01,112.365
2007-07-01,112.092
2007-08-01,112.117
2007-09-01,112.116
2007-10-01,112.086
2007-11-01,112.246
2007-12-01,112.244
2008-01-01,112.229
2008-02-01,111.975
2008-03-01,111.885
2008-04-01,111.553
2008-05-01,111.275
2008-06-01,111.098
2008-07-01,111.007
2008-08-01,110.720
2008-09-01,110.342
2008-10-01,109.877
2008-11-01,109.410
2008-12-01,109.069
2009-01-01,109.025
2009-02-01,109.221
2009-03-01,109.264
2009-04-01,109.404
2009-05-01,109.650
2009-06-01,109.983
2009-07-01,109.924
2009-08-01,109.129
2009-09-01,109.387
2009-10-01,110.684
2009-11-01,111.159
2009-12-01,111.477
2010-01-01,111.934
2010-02-01,111.811
2010-03-01,111.683
2010-04-01,111.397
2010-05-01,111.206
2010-06-01,110.989
2010-07-01,111.085
2010-08-01,111.239
2010-09-01,111.283
2010-10-01,111.201
2010-11-01,111.005
2010-12-01,111.034
2011-01-01,111.106
2011-02-01,111.401
2011-03-01,111.753
2011-04-01,112.122
2011-05-01,112.552
2011-06-01,112.922
2011-07-01,113.204
2011-08-01,113.306
2011-09-01,113.220
2011-10-01,113.091
2011-11-01,113.027
2011-12-01,112.984
2012-01-01,112.944
2012-02-01,112.996
2012-03-01,112.952
2012-04-01,113.040
2012-05-01,113.091
2012-06-01,113.041
2012-07-01,113.131
2012-08-01,112.806
2012-09-01,112.421
2012-10-01,112.327
2012-11-01,112.399
2012-12-01,112.389
2013-01-01,112.497
2013-02-01,112.379
2013-03-01,112.209
2013-04-01,112.014
2013-05-01,111.879
2013-06-01,111.782
2013-07-01,111.688
2013-08-01,111.621
2013-09-01,111.712
2013-10-01,111.722
2013-11-01,111.677
2013-12-01,111.625
2014-01-01,111.301
2014-02-01,111.053
2014-03-01,110.775
2014-04-01,110.607
2014-05-01,110.398
2014-06-01,110.199
2014-07-01,110.218
2014-08-01,110.202
2014-09-01,110.135
2014-10-01,110.252
2014-11-01,109.796
2014-12-01,109.446
2015-01-01,108.977
2015-02-01,109.185
2015-03-01,109.316
2015-04-01,109.477
2015-05-01,109.465
2015-06-01,109.425
2015-07-01,109.242
2015-08-01,109.057
2015-09-01,109.148
2015-10-01,108.995
2015-11-01,108.765
2015-12-01,108.539
2016-01-01,108.232
2016-02-01,108.260
2016-03-01,108.137
2016-04-01,107.939
2016-05-01,107.693
2016-06-01,107.290
2016-07-01,107.099
2016-08-01,106.915
2016-09-01,106.752
2016-10-01,106.578
2016-11-01,106.337
2016-12-01,106.207
2017-01-01,106.536
2017-02-01,106.450
2017-03-01,106.073
2017-04-01,105.910
2017-05-01,105.692
2017-06-01,105.275
2017-07-01,104.749
2017-08-01,104.561
2017-09-01,104.557
2017-10-01,104.278
2017-11-01,104.423
2017-12-01,104.798
2018-01-01,104.830
2018-02-01,104.800
2018-03-01,104.817
2018-04-01,104.483
2018-05-01,104.043
2018-06-01,103.950
2018-07-01,104.243
2018-08-01,104.293
2018-09-01,103.906
2018-10-01,104.172
2018-11-01,104.602
2018-12-01,104.841
2019-01-01,105.228
2019-02-01,105.260
2019-03-01,105.172
2019-04-01,104.831
2019-05-01,104.330
2019-06-01,104.439
2019-07-01,104.684
2019-08-01,104.904
2019-09-01,104.838
2019-10-01,104.722
2019-11-01,104.570
2019-12-01,104.322
2020-01-01,104.327
2020-02-01,104.679
2020-03-01,104.525
2020-04-01,104.055
2020-05-01,103.814
2020-06-01,103.428
2020-07-01,104.509
2020-08-01,106.490
2020-09-01,107.975
2020-10-01,108.303
2020-11-01,108.279
2020-12-01,108.297
2021-01-01,107.979
2021-02-01,108.205
2021-03-01,108.436
2021-04-01,111.745
2021-05-01,114.530
2021-06-01,118.522
2021-07-01,119.390
2021-08-01,120.078
2021-09-01,120.714
2021-10-01,122.650
2021-11-01,124.413
2021-12-01,126.416
2022-01-01,127.892
2022-02-01,128.479
2022-03-01,127.283
2022-04-01,127.351
2022-05-01,127.541
2022-06-01,128.476
2022-07-01,128.864
2022-08-01,129.490
2022-09-01,129.338
