DATE,CPIUFDSL
1990-01-01,129.7
1990-02-01,130.8
1990-03-01,131.0
1990-04-01,130.8
1990-05-01,131.1
1990-06-01,132.1
1990-07-01,132.8
1990-08-01,133.2
1990-09-01,133.6
1990-10-01,134.1
1990-11-01,134.5
1990-12-01,134.6
1991-01-01,135.0
1991-02-01,135.1
1991-03-01,135.3
1991-04-01,136.1
1991-05-01,136.6
1991-06-01,137.4
1991-07-01,136.7
1991-08-01,136.2
1991-09-01,136.4
1991-10-01,136.2
1991-11-01,136.7
1991-12-01,137.0
1992-01-01,136.6
1992-02-01,137.1
1992-03-01,137.6
1992-04-01,137.5
1992-05-01,137.2
1992-06-01,137.6
1992-07-01,137.4
1992-08-01,138.4
1992-09-01,138.9
1992-10-01,138.9
1992-11-01,138.7
1992-12-01,138.8
1993-01-01,139.1
1993-02-01,139.6
1993-03-01,139.6
1993-04-01,140.0
1993-05-01,141.0
1993-06-01,140.6
1993-07-01,140.6
1993-08-01,141.1
1993-09-01,141.4
1993-10-01,142.0
1993-11-01,142.3
1993-12-01,142.8
1994-01-01,142.9
1994-02-01,142.7
1994-03-01,142.7
1994-04-01,143.0
1994-05-01,143.3
1994-06-01,143.8
1994-07-01,144.6
1994-08-01,145.1
1994-09-01,145.3
1994-10-01,145.3
1994-11-01,145.6
1994-12-01,146.8
1995-01-01,146.7
1995-02-01,147.3
1995-03-01,147.1
1995-04-01,148.1
1995-05-01,148.2
1995-06-01,148.3
1995-07-01,148.5
1995-08-01,148.6
1995-09-01,149.1
1995-10-01,149.5
1995-11-01,149.6
1995-12-01,149.9
1996-01-01,150.4
1996-02-01,150.8
1996-03-01,151.4
1996-04-01,152.0
1996-05-01,151.9
1996-06-01,152.9
1996-07-01,153.4
1996-08-01,153.9
1996-09-01,154.6
1996-10-01,155.5
1996-11-01,156.1
1996-12-01,156.3
1997-01-01,155.9
1997-02-01,156.5
1997-03-01,156.6
1997-04-01,156.5
1997-05-01,156.6
1997-06-01,156.9
1997-07-01,157.2
1997-08-01,157.7
1997-09-01,158.0
1997-10-01,158.3
1997-11-01,158.6
1997-12-01,158.7
1998-01-01,159.5
1998-02-01,159.4
1998-03-01,159.7
1998-04-01,159.7
1998-05-01,160.3
1998-06-01,160.2
1998-07-01,160.6
1998-08-01,161.0
1998-09-01,161.1
1998-10-01,162.0
1998-11-01,162.2
1998-12-01,162.4
1999-01-01,163.0
1999-02-01,163.3
1999-03-01,163.3
1999-04-01,163.5
1999-05-01,163.8
1999-06-01,163.7
1999-07-01,163.9
1999-08-01,164.2
1999-09-01,164.6
1999-10-01,165.0
1999-11-01,165.3
1999-12-01,165.5
2000-01-01,165.6
2000-02-01,166.2
2000-03-01,166.5
2000-04-01,166.7
2000-05-01,167.3
2000-06-01,167.4
2000-07-01,168.3
2000-08-01,168.7
2000-09-01,168.9
2000-10-01,169.0
2000-11-01,169.2
2000-12-01,170.0
2001-01-01,170.3
2001-02-01,171.2
2001-03-01,171.7
2001-04-01,172.1
2001-05-01,172.4
2001-06-01,173.1
2001-07-01,173.6
2001-08-01,174.0
2001-09-01,174.2
2001-10-01,174.8
2001-11-01,174.9
2001-12-01,174.7
2002-01-01,175.3
2002-02-01,175.7
2002-03-01,176.1
2002-04-01,176.4
2002-05-01,175.8
2002-06-01,175.9
2002-07-01,176.1
2002-08-01,176.1
2002-09-01,176.5
2002-10-01,176.4
2002-11-01,176.9
2002-12-01,177.1
2003-01-01,177.100
2003-02-01,178.1
2003-03-01,178.400
2003-04-01,178.500
2003-05-01,178.8
2003-06-01,179.700
2003-07-01,179.8
2003-08-01,180.5
2003-09-01,180.900
2003-10-01,181.6
2003-11-01,182.600
2003-12-01,183.5
2004-01-01,183.400
2004-02-01,183.900
2004-03-01,184.2
2004-04-01,184.600
2004-05-01,186.100
2004-06-01,186.400
2004-07-01,186.800
2004-08-01,187.000
2004-09-01,186.900
2004-10-01,187.800
2004-11-01,188.400
2004-12-01,188.400
2005-01-01,188.700
2005-02-01,188.600
2005-03-01,189.100
2005-04-01,190.400
2005-05-01,190.600
2005-06-01,190.500
2005-07-01,190.900
2005-08-01,191.100
2005-09-01,191.500
2005-10-01,192.0
2005-11-01,192.600
2005-12-01,192.900
2006-01-01,193.600
2006-02-01,193.700
2006-03-01,194.000
2006-04-01,193.800
2006-05-01,194.100
2006-06-01,194.700
2006-07-01,195.200
2006-08-01,195.700
2006-09-01,196.300
2006-10-01,196.900
2006-11-01,197.000
2006-12-01,197.100
2007-01-01,198.378
2007-02-01,199.736
2007-03-01,200.432
2007-04-01,200.952
2007-05-01,201.735
2007-06-01,202.557
2007-07-01,203.232
2007-08-01,204.008
2007-09-01,205.003
2007-10-01,205.651
2007-11-01,206.493
2007-12-01,206.874
2008-01-01,208.126
2008-02-01,208.901
2008-03-01,209.324
2008-04-01,211.127
2008-05-01,212.019
2008-06-01,213.333
2008-07-01,215.434
2008-08-01,216.528
2008-09-01,217.768
