DATE,CUSR0000SEHE
1990-01-01,110.600
1990-02-01,92.800
1990-03-01,89.800
1990-04-01,88.400
1990-05-01,87.500
1990-06-01,85.500
1990-07-01,84.400
1990-08-01,94.400
1990-09-01,107.200
1990-10-01,120.300
1990-11-01,117.200
1990-12-01,113.100
1991-01-01,108.200
1991-02-01,103.000
1991-03-01,97.600
1991-04-01,93.300
1991-05-01,90.500
1991-06-01,90.000
1991-07-01,89.500
1991-08-01,90.200
1991-09-01,91.100
1991-10-01,92.000
1991-11-01,95.300
1991-12-01,93.800
1992-01-01,89.300
1992-02-01,88.700
1992-03-01,88.300
1992-04-01,88.600
1992-05-01,89.500
1992-06-01,91.300
1992-07-01,92.400
1992-08-01,92.800
1992-09-01,92.500
1992-10-01,92.500
1992-11-01,92.300
1992-12-01,90.900
1993-01-01,90.200
1993-02-01,89.800
1993-03-01,91.300
1993-04-01,91.800
1993-05-01,91.200
1993-06-01,91.500
1993-07-01,91.400
1993-08-01,90.500
1993-09-01,89.900
1993-10-01,89.700
1993-11-01,89.200
1993-12-01,87.300
1994-01-01,87.200
1994-02-01,91.100
1994-03-01,90.800
1994-04-01,89.200
1994-05-01,88.500
1994-06-01,88.600
1994-07-01,89.300
1994-08-01,89.500
1994-09-01,88.900
1994-10-01,87.800
1994-11-01,87.400
1994-12-01,87.200
1995-01-01,87.300
1995-02-01,86.900
1995-03-01,87.100
1995-04-01,87.300
1995-05-01,88.200
1995-06-01,88.900
1995-07-01,89.300
1995-08-01,89.300
1995-09-01,88.900
1995-10-01,88.000
1995-11-01,87.500
1995-12-01,88.500
1996-01-01,94.900
1996-02-01,94.100
1996-03-01,96.200
1996-04-01,100.200
1996-05-01,99.200
1996-06-01,95.800
1996-07-01,95.200
1996-08-01,95.700
1996-09-01,98.300
1996-10-01,104.500
1996-11-01,106.700
1996-12-01,109.500
1997-01-01,108.300
1997-02-01,105.600
1997-03-01,102.400
1997-04-01,100.300
1997-05-01,100.100
1997-06-01,99.600
1997-07-01,98.200
1997-08-01,97.600
1997-09-01,96.500
1997-10-01,96.900
1997-11-01,96.700
1997-12-01,95.200
1998-01-01,92.800
1998-02-01,91.300
1998-03-01,91.600
1998-04-01,91.000
1998-05-01,91.600
1998-06-01,91.200
1998-07-01,91.500
1998-08-01,91.000
1998-09-01,88.800
1998-10-01,87.800
1998-11-01,86.900
1998-12-01,84.200
1999-01-01,83.700
1999-02-01,82.900
1999-03-01,83.400
1999-04-01,85.600
1999-05-01,87.300
1999-06-01,88.800
1999-07-01,91.000
1999-08-01,93.600
1999-09-01,97.200
1999-10-01,99.400
1999-11-01,101.000
1999-12-01,104.900
2000-01-01,111.000
2000-02-01,141.100
2000-03-01,125.100
2000-04-01,120.600
2000-05-01,120.600
2000-06-01,122.600
2000-07-01,125.500
2000-08-01,126.300
2000-09-01,138.600
2000-10-01,140.400
2000-11-01,141.500
2000-12-01,144.300
2001-01-01,145.200
2001-02-01,138.200
2001-03-01,131.900
2001-04-01,130.500
2001-05-01,130.400
2001-06-01,131.400
2001-07-01,128.600
2001-08-01,127.600
2001-09-01,129.700
2001-10-01,124.000
2001-11-01,119.700
2001-12-01,112.600
2002-01-01,109.700
2002-02-01,107.300
2002-03-01,109.500
2002-04-01,112.700
2002-05-01,113.900
2002-06-01,114.500
2002-07-01,115.800
2002-08-01,116.600
2002-09-01,118.000
2002-10-01,120.600
2002-11-01,122.800
2002-12-01,125.000
2003-01-01,134.700
2003-02-01,148.800
2003-03-01,163.200
2003-04-01,144.200
2003-05-01,137.500
2003-06-01,135.500
2003-07-01,135.600
2003-08-01,135.600
2003-09-01,133.100
2003-10-01,131.600
2003-11-01,134.700
2003-12-01,136.500
2004-01-01,148.700
2004-02-01,147.200
2004-03-01,146.600
2004-04-01,145.500
2004-05-01,151.300
2004-06-01,154.900
2004-07-01,156.400
2004-08-01,161.300
2004-09-01,164.500
2004-10-01,176.500
2004-11-01,186.400
2004-12-01,183.100
2005-01-01,181.200
2005-02-01,188.500
2005-03-01,195.500
2005-04-01,199.500
2005-05-01,193.900
2005-06-01,195.000
2005-07-01,202.900
2005-08-01,209.800
2005-09-01,235.900
2005-10-01,241.100
2005-11-01,231.500
2005-12-01,227.800
2006-01-01,229.500
2006-02-01,230.500
2006-03-01,230.400
2006-04-01,236.400
2006-05-01,239.800
2006-06-01,239.100
2006-07-01,241.900
2006-08-01,245.300
2006-09-01,237.100
2006-10-01,227.900
2006-11-01,227.200
2006-12-01,233.200
2007-01-01,227.930
2007-02-01,231.800
2007-03-01,236.863
2007-04-01,240.090
2007-05-01,241.473
2007-06-01,241.589
2007-07-01,245.680
2007-08-01,246.542
2007-09-01,252.580
2007-10-01,261.745
2007-11-01,291.845
2007-12-01,299.296
2008-01-01,306.937
2008-02-01,308.269
2008-03-01,332.139
2008-04-01,342.811
2008-05-01,363.872
2008-06-01,389.423
2008-07-01,395.706
2008-08-01,367.794
2008-09-01,349.164
2008-10-01,318.667
2008-11-01,281.869
2008-12-01,256.209
2009-01-01,247.163
2009-02-01,242.264
2009-03-01,230.837
2009-04-01,228.107
2009-05-01,225.164
2009-06-01,232.638
2009-07-01,230.192
2009-08-01,237.521
2009-09-01,236.616
2009-10-01,243.936
2009-11-01,260.250
2009-12-01,262.649
2010-01-01,280.850
2010-02-01,277.284
2010-03-01,276.027
2010-04-01,278.080
2010-05-01,272.606
2010-06-01,265.521
2010-07-01,261.257
2010-08-01,263.196
2010-09-01,265.812
2010-10-01,276.551
2010-11-01,286.367
2010-12-01,298.037
2011-01-01,308.306
2011-02-01,315.129
2011-03-01,328.847
2011-04-01,340.035
2011-05-01,345.325
2011-06-01,345.235
2011-07-01,346.556
2011-08-01,345.613
2011-09-01,344.318
2011-10-01,343.218
2011-11-01,346.209
2011-12-01,341.472
2012-01-01,338.522
2012-02-01,339.818
2012-03-01,339.337
2012-04-01,344.224
2012-05-01,341.340
2012-06-01,323.907
2012-07-01,320.495
2012-08-01,330.489
2012-09-01,336.390
2012-10-01,339.808
2012-11-01,339.536
2012-12-01,335.029
2013-01-01,332.369
2013-02-01,333.382
2013-03-01,326.197
2013-04-01,322.008
2013-05-01,319.910
2013-06-01,324.282
2013-07-01,329.138
2013-08-01,336.346
2013-09-01,338.721
2013-10-01,336.807
2013-11-01,339.241
2013-12-01,344.229
2014-01-01,362.119
2014-02-01,381.604
2014-03-01,352.431
2014-04-01,340.560
2014-05-01,339.154
2014-06-01,338.331
2014-07-01,338.806
2014-08-01,340.200
2014-09-01,333.250
2014-10-01,323.344
2014-11-01,317.626
2014-12-01,295.589
2015-01-01,271.328
2015-02-01,269.641
2015-03-01,277.899
2015-04-01,266.924
2015-05-01,265.835
2015-06-01,264.841
2015-07-01,256.667
2015-08-01,247.622
2015-09-01,241.051
2015-10-01,240.798
2015-11-01,241.288
2015-12-01,226.805
2016-01-01,215.393
2016-02-01,211.663
2016-03-01,212.927
2016-04-01,215.225
2016-05-01,222.945
2016-06-01,230.486
2016-07-01,230.473
2016-08-01,229.326
2016-09-01,230.585
2016-10-01,237.050
2016-11-01,236.704
2016-12-01,243.498
2017-01-01,250.636
2017-02-01,252.102
2017-03-01,249.799
2017-04-01,251.602
2017-05-01,247.118
2017-06-01,243.269
2017-07-01,240.827
2017-08-01,250.736
2017-09-01,260.479
2017-10-01,261.249
2017-11-01,270.037
2017-12-01,275.414
2018-01-01,290.072
2018-02-01,287.405
2018-03-01,285.771
2018-04-01,290.311
2018-05-01,291.108
2018-06-01,293.761
2018-07-01,294.897
2018-08-01,301.462
2018-09-01,302.066
2018-10-01,305.749
2018-11-01,296.171
2018-12-01,278.666
2019-01-01,271.553
2019-02-01,279.891
2019-03-01,283.655
2019-04-01,286.964
2019-05-01,288.615
2019-06-01,279.791
2019-07-01,279.934
2019-08-01,280.076
2019-09-01,279.023
2019-10-01,278.336
2019-11-01,277.585
2019-12-01,284.650
2020-01-01,279.518
2020-02-01,266.131
2020-03-01,242.208
2020-04-01,220.416
2020-05-01,214.072
2020-06-01,224.222
2020-07-01,229.652
2020-08-01,236.643
2020-09-01,230.913
2020-10-01,227.754
2020-11-01,230.616
2020-12-01,246.215
2021-01-01,258.140
2021-02-01,280.887
2021-03-01,285.922
2021-04-01,283.290
2021-05-01,289.387
2021-06-01,296.585
2021-07-01,300.485
2021-08-01,304.693
2021-09-01,315.171
2021-10-01,337.899
2021-11-01,342.299
2021-12-01,339.012
2022-01-01,351.997
2022-02-01,374.728
2022-03-01,433.679
2022-04-01,449.853
2022-05-01,508.909
2022-06-01,505.445
2022-07-01,464.597
2022-08-01,453.418
2022-09-01,440.818
