DATE,CPIHOSSL
1990-01-01,126.100
1990-02-01,126.200
1990-03-01,126.800
1990-04-01,127.100
1990-05-01,127.300
1990-06-01,128.100
1990-07-01,128.700
1990-08-01,129.700
1990-09-01,130.200
1990-10-01,130.600
1990-11-01,130.800
1990-12-01,131.000
1991-01-01,132.000
1991-02-01,132.400
1991-03-01,132.600
1991-04-01,132.700
1991-05-01,133.100
1991-06-01,133.200
1991-07-01,133.600
1991-08-01,133.800
1991-09-01,134.300
1991-10-01,134.700
1991-11-01,135.200
1991-12-01,135.600
1992-01-01,135.900
1992-02-01,136.100
1992-03-01,136.400
1992-04-01,136.700
1992-05-01,136.900
1992-06-01,137.400
1992-07-01,137.700
1992-08-01,137.900
1992-09-01,138.100
1992-10-01,138.600
1992-11-01,139.000
1992-12-01,139.200
1993-01-01,139.600
1993-02-01,139.600
1993-03-01,140.000
1993-04-01,140.600
1993-05-01,140.800
1993-06-01,141.200
1993-07-01,141.300
1993-08-01,141.700
1993-09-01,142.000
1993-10-01,142.300
1993-11-01,142.600
1993-12-01,143.000
1994-01-01,143.200
1994-02-01,143.700
1994-03-01,144.100
1994-04-01,144.000
1994-05-01,144.400
1994-06-01,144.600
1994-07-01,144.800
1994-08-01,145.300
1994-09-01,145.500
1994-10-01,145.700
1994-11-01,146.000
1994-12-01,146.000
1995-01-01,146.600
1995-02-01,146.900
1995-03-01,147.200
1995-04-01,147.600
1995-05-01,147.900
1995-06-01,148.200
1995-07-01,148.600
1995-08-01,149.000
1995-09-01,149.200
1995-10-01,149.800
1995-11-01,150.000
1995-12-01,150.300
1996-01-01,150.900
1996-02-01,151.200
1996-03-01,151.600
1996-04-01,151.900
1996-05-01,152.300
1996-06-01,152.400
1996-07-01,153.000
1996-08-01,153.400
1996-09-01,153.700
1996-10-01,154.000
1996-11-01,154.400
1996-12-01,154.700
1997-01-01,155.300
1997-02-01,155.700
1997-03-01,155.700
1997-04-01,156.000
1997-05-01,156.200
1997-06-01,156.600
1997-07-01,156.900
1997-08-01,157.100
1997-09-01,157.500
1997-10-01,157.800
1997-11-01,158.300
1997-12-01,158.400
1998-01-01,158.700
1998-02-01,158.800
1998-03-01,159.200
1998-04-01,159.600
1998-05-01,160.000
1998-06-01,160.200
1998-07-01,160.500
1998-08-01,160.800
1998-09-01,161.100
1998-10-01,161.500
1998-11-01,161.900
1998-12-01,162.200
1999-01-01,162.200
1999-02-01,162.400
1999-03-01,162.700
1999-04-01,163.100
1999-05-01,163.300
1999-06-01,163.600
1999-07-01,164.000
1999-08-01,164.300
1999-09-01,164.900
1999-10-01,165.100
1999-11-01,165.500
1999-12-01,165.700
2000-01-01,166.500
2000-02-01,167.300
2000-03-01,167.700
2000-04-01,167.900
2000-05-01,168.300
2000-06-01,169.200
