DATE,CUSR0000SETA01
1990-01-01,121.300
1990-02-01,121.200
1990-03-01,120.900
1990-04-01,120.800
1990-05-01,120.900
1990-06-01,120.800
1990-07-01,120.800
1990-08-01,121.100
1990-09-01,121.200
1990-10-01,121.800
1990-11-01,122.500
1990-12-01,123.400
1991-01-01,124.200
1991-02-01,124.800
1991-03-01,125.300
1991-04-01,125.500
1991-05-01,125.700
1991-06-01,126.000
1991-07-01,126.300
1991-08-01,126.400
1991-09-01,126.400
1991-10-01,126.700
1991-11-01,127.000
1991-12-01,127.500
1992-01-01,127.600
1992-02-01,127.900
1992-03-01,128.300
1992-04-01,128.600
1992-05-01,129.000
1992-06-01,129.300
1992-07-01,129.300
1992-08-01,129.800
1992-09-01,130.000
1992-10-01,130.000
1992-11-01,130.400
1992-12-01,130.500
1993-01-01,130.900
1993-02-01,131.100
1993-03-01,131.300
1993-04-01,131.700
1993-05-01,132.200
1993-06-01,132.300
1993-07-01,132.900
1993-08-01,133.400
1993-09-01,133.600
1993-10-01,134.200
1993-11-01,134.600
1993-12-01,134.900
1994-01-01,135.300
1994-02-01,135.700
1994-03-01,136.100
1994-04-01,136.400
1994-05-01,137.000
1994-06-01,137.500
1994-07-01,138.100
1994-08-01,138.400
1994-09-01,138.900
1994-10-01,139.200
1994-11-01,139.200
1994-12-01,139.400
1995-01-01,139.800
1995-02-01,139.900
1995-03-01,140.000
1995-04-01,140.600
1995-05-01,140.900
1995-06-01,141.100
1995-07-01,141.000
1995-08-01,141.100
1995-09-01,141.300
1995-10-01,141.600
1995-11-01,141.900
1995-12-01,142.100
1996-01-01,142.400
1996-02-01,142.800
1996-03-01,143.000
1996-04-01,143.000
1996-05-01,143.200
1996-06-01,143.600
1996-07-01,143.800
1996-08-01,144.000
1996-09-01,144.500
1996-10-01,144.500
1996-11-01,144.600
1996-12-01,144.700
1997-01-01,144.600
1997-02-01,144.600
1997-03-01,144.700
1997-04-01,144.600
1997-05-01,144.400
1997-06-01,144.300
1997-07-01,144.300
1997-08-01,144.200
1997-09-01,144.000
1997-10-01,144.100
1997-11-01,143.800
1997-12-01,143.300
1998-01-01,143.400
1998-02-01,143.600
1998-03-01,143.800
1998-04-01,143.800
1998-05-01,143.100
1998-06-01,142.800
1998-07-01,143.400
1998-08-01,144.100
1998-09-01,143.600
1998-10-01,143.200
1998-11-01,143.200
1998-12-01,143.300
1999-01-01,143.500
1999-02-01,143.000
1999-03-01,142.800
1999-04-01,142.800
1999-05-01,142.800
1999-06-01,142.800
1999-07-01,142.700
1999-08-01,142.700
1999-09-01,142.800
1999-10-01,143.000
1999-11-01,142.800
1999-12-01,142.600
2000-01-01,142.400
2000-02-01,142.200
2000-03-01,142.700
2000-04-01,143.000
2000-05-01,143.200
2000-06-01,143.200
2000-07-01,143.300
2000-08-01,143.200
2000-09-01,142.700
2000-10-01,142.200
2000-11-01,142.300
2000-12-01,142.600
2001-01-01,142.500
2001-02-01,142.400
2001-03-01,142.300
2001-04-01,142.300
2001-05-01,142.200
2001-06-01,142.100
2001-07-01,142.100
2001-08-01,141.600
2001-09-01,141.400
2001-10-01,141.600
2001-11-01,142.200
2001-12-01,142.500
2002-01-01,141.500
2002-02-01,140.200
2002-03-01,140.100
2002-04-01,140.000
2002-05-01,139.800
2002-06-01,139.600
2002-07-01,139.600
2002-08-01,139.400
2002-09-01,139.900
2002-10-01,140.000
2002-11-01,140.100
2002-12-01,139.800
2003-01-01,138.500
2003-02-01,138.200
2003-03-01,138.700
2003-04-01,138.300
2003-05-01,138.100
2003-06-01,137.800
2003-07-01,137.600
2003-08-01,138.000
2003-09-01,137.600
2003-10-01,137.100
2003-11-01,137.200
2003-12-01,137.200
2004-01-01,136.800
2004-02-01,137.300
2004-03-01,137.300
2004-04-01,137.300
2004-05-01,137.500
2004-06-01,137.700
2004-07-01,136.800
2004-08-01,135.900
2004-09-01,136.000
2004-10-01,136.400
2004-11-01,137.600
2004-12-01,138.100
2005-01-01,138.500
2005-02-01,138.600
2005-03-01,138.300
2005-04-01,138.300
2005-05-01,138.700
2005-06-01,138.600
2005-07-01,137.300
2005-08-01,136.500
2005-09-01,137.100
2005-10-01,137.700
2005-11-01,137.700
2005-12-01,137.500
2006-01-01,138.000
2006-02-01,138.100
2006-03-01,137.900
2006-04-01,137.900
2006-05-01,137.700
2006-06-01,137.700
2006-07-01,137.800
2006-08-01,137.600
2006-09-01,137.600
2006-10-01,137.400
2006-11-01,136.600
2006-12-01,136.400
2007-01-01,136.437
2007-02-01,136.201
2007-03-01,136.481
2007-04-01,136.578
2007-05-01,136.323
2007-06-01,136.171
2007-07-01,136.236
2007-08-01,136.438
2007-09-01,136.051
2007-10-01,135.831
2007-11-01,136.154
2007-12-01,136.098
2008-01-01,135.926
2008-02-01,135.405
2008-03-01,134.953
2008-04-01,134.726
2008-05-01,134.646
2008-06-01,134.660
2008-07-01,134.821
2008-08-01,134.162
2008-09-01,133.496
2008-10-01,132.925
2008-11-01,132.497
2008-12-01,132.069
2009-01-01,132.669
2009-02-01,133.415
2009-03-01,133.866
2009-04-01,134.367
2009-05-01,134.987
2009-06-01,135.729
2009-07-01,136.298
2009-08-01,134.771
2009-09-01,135.524
2009-10-01,137.891
2009-11-01,139.067
2009-12-01,138.928
2010-01-01,138.321
2010-02-01,138.117
2010-03-01,137.879
