DATE,CUSR0000SAH1
1990-01-01,136.300
1990-02-01,136.600
1990-03-01,137.600
1990-04-01,138.200
1990-05-01,138.600
1990-06-01,139.600
1990-07-01,140.700
1990-08-01,141.800
1990-09-01,142.100
1990-10-01,142.400
1990-11-01,142.600
1990-12-01,143.200
1991-01-01,144.200
1991-02-01,144.500
1991-03-01,144.800
1991-04-01,145.200
1991-05-01,145.600
1991-06-01,145.900
1991-07-01,146.400
1991-08-01,146.700
1991-09-01,147.200
1991-10-01,147.700
1991-11-01,148.200
1991-12-01,148.900
1992-01-01,149.400
1992-02-01,149.600
1992-03-01,150.000
1992-04-01,150.200
1992-05-01,150.600
1992-06-01,151.100
1992-07-01,151.400
1992-08-01,151.700
1992-09-01,151.800
1992-10-01,152.500
1992-11-01,152.900
1992-12-01,153.200
1993-01-01,153.800
1993-02-01,154.100
1993-03-01,154.300
1993-04-01,155.000
1993-05-01,155.300
1993-06-01,155.800
1993-07-01,155.900
1993-08-01,156.200
1993-09-01,156.500
1993-10-01,156.900
1993-11-01,157.300
1993-12-01,157.800
1994-01-01,158.200
1994-02-01,158.800
1994-03-01,159.400
1994-04-01,159.500
1994-05-01,159.900
1994-06-01,160.100
1994-07-01,160.400
1994-08-01,161.200
1994-09-01,161.600
1994-10-01,162.100
1994-11-01,162.600
1994-12-01,162.500
1995-01-01,163.100
1995-02-01,163.500
1995-03-01,164.000
1995-04-01,164.500
1995-05-01,165.100
1995-06-01,165.500
1995-07-01,166.000
1995-08-01,166.300
1995-09-01,166.900
1995-10-01,167.400
1995-11-01,167.900
1995-12-01,168.200
1996-01-01,168.700
1996-02-01,169.100
1996-03-01,169.600
1996-04-01,169.900
1996-05-01,170.400
1996-06-01,170.700
1996-07-01,171.400
1996-08-01,171.800
1996-09-01,172.100
1996-10-01,172.500
1996-11-01,173.000
1996-12-01,173.100
1997-01-01,173.800
1997-02-01,174.300
1997-03-01,174.600
1997-04-01,175.100
1997-05-01,175.600
1997-06-01,176.000
1997-07-01,176.500
1997-08-01,177.000
1997-09-01,177.400
1997-10-01,177.900
1997-11-01,178.400
1997-12-01,178.900
1998-01-01,179.400
1998-02-01,179.800
1998-03-01,180.300
1998-04-01,180.800
1998-05-01,181.400
1998-06-01,181.800
1998-07-01,182.100
1998-08-01,182.800
1998-09-01,183.400
1998-10-01,184.000
1998-11-01,184.500
1998-12-01,185.000
1999-01-01,185.100
1999-02-01,185.300
1999-03-01,185.700
1999-04-01,186.300
1999-05-01,186.600
1999-06-01,187.000
1999-07-01,187.500
1999-08-01,187.800
1999-09-01,188.400
1999-10-01,188.600
1999-11-01,189.200
1999-12-01,189.500
2000-01-01,190.600
2000-02-01,190.900
2000-03-01,191.600
2000-04-01,191.900
2000-05-01,192.400
2000-06-01,193.100
2000-07-01,193.600
2000-08-01,194.100
2000-09-01,194.700
2000-10-01,195.300
2000-11-01,195.800
2000-12-01,196.100
2001-01-01,196.800
2001-02-01,197.500
2001-03-01,198.300
2001-04-01,198.800
2001-05-01,199.600
2001-06-01,200.500
2001-07-01,200.900
2001-08-01,201.800
2001-09-01,202.000
2001-10-01,202.500
2001-11-01,203.500
2001-12-01,204.300
2002-01-01,205.100
2002-02-01,206.000
2002-03-01,206.300
2002-04-01,207.000
2002-05-01,207.400
2002-06-01,207.800
2002-07-01,208.200
2002-08-01,208.900
2002-09-01,209.400
2002-10-01,209.700
2002-11-01,210.400
2002-12-01,210.800
2003-01-01,211.500
2003-02-01,211.600
2003-03-01,211.500
2003-04-01,211.600
2003-05-01,212.600
2003-06-01,212.600
2003-07-01,213.200
2003-08-01,213.600
2003-09-01,214.000
2003-10-01,214.700
2003-11-01,215.100
2003-12-01,215.500
2004-01-01,215.900
2004-02-01,215.800
2004-03-01,217.000
2004-04-01,217.800
2004-05-01,218.500
2004-06-01,218.900
2004-07-01,219.300
2004-08-01,219.600
2004-09-01,220.400
2004-10-01,220.700
2004-11-01,220.900
2004-12-01,221.300
2005-01-01,221.700
2005-02-01,222.500
2005-03-01,223.700
2005-04-01,223.700
2005-05-01,223.800
2005-06-01,224.000
2005-07-01,224.600
2005-08-01,224.900
2005-09-01,224.600
2005-10-01,225.800
2005-11-01,226.500
2005-12-01,227.100
2006-01-01,227.500
2006-02-01,228.300
2006-03-01,229.300
2006-04-01,230.100
2006-05-01,231.000
2006-06-01,231.900
2006-07-01,232.700
2006-08-01,233.500
2006-09-01,234.000
2006-10-01,235.000
2006-11-01,235.800
2006-12-01,236.500
2007-01-01,237.255
2007-02-01,238.107
2007-03-01,238.538
2007-04-01,239.140
2007-05-01,239.637
2007-06-01,240.345
2007-07-01,240.843
2007-08-01,241.450
2007-09-01,242.037
2007-10-01,242.581
2007-11-01,243.305
2007-12-01,243.979
2008-01-01,244.564
2008-02-01,244.926
2008-03-01,245.659
2008-04-01,245.608
2008-05-01,245.902
2008-06-01,246.406
