DATE,CUSR0000SETA02
1990-01-01,119.200
1990-02-01,118.700
1990-03-01,118.500
1990-04-01,118.200
1990-05-01,117.600
1990-06-01,117.300
1990-07-01,117.500
1990-08-01,117.200
1990-09-01,117.200
1990-10-01,116.800
1990-11-01,115.400
1990-12-01,116.300
1991-01-01,116.600
1991-02-01,116.600
1991-03-01,116.800
1991-04-01,117.200
1991-05-01,117.900
1991-06-01,118.400
1991-07-01,119.400
1991-08-01,118.700
1991-09-01,118.400
1991-10-01,118.600
1991-11-01,119.000
1991-12-01,119.100
1992-01-01,118.600
1992-02-01,118.000
1992-03-01,118.600
1992-04-01,120.200
1992-05-01,121.300
1992-06-01,122.500
1992-07-01,123.500
1992-08-01,125.000
1992-09-01,126.200
1992-10-01,127.400
1992-11-01,128.300
1992-12-01,128.000
1993-01-01,127.400
1993-02-01,126.000
1993-03-01,126.600
1993-04-01,128.700
1993-05-01,131.500
1993-06-01,134.300
1993-07-01,136.100
1993-08-01,137.500
1993-09-01,138.700
1993-10-01,139.800
1993-11-01,140.700
1993-12-01,139.300
1994-01-01,136.800
1994-02-01,134.100
1994-03-01,133.600
1994-04-01,135.300
1994-05-01,137.900
1994-06-01,140.900
1994-07-01,142.600
1994-08-01,144.000
1994-09-01,145.400
1994-10-01,147.700
1994-11-01,150.100
1994-12-01,151.500
1995-01-01,152.400
1995-02-01,153.300
1995-03-01,154.800
1995-04-01,156.700
1995-05-01,157.700
1995-06-01,158.300
1995-07-01,157.500
1995-08-01,157.000
1995-09-01,156.500
1995-10-01,157.200
1995-11-01,157.800
1995-12-01,158.200
1996-01-01,158.100
1996-02-01,158.400
1996-03-01,159.100
1996-04-01,158.100
1996-05-01,157.400
1996-06-01,156.700
1996-07-01,156.700
1996-08-01,156.600
1996-09-01,156.800
1996-10-01,156.200
1996-11-01,155.700
1996-12-01,154.900
1997-01-01,154.800
1997-02-01,154.700
1997-03-01,155.000
1997-04-01,154.300
1997-05-01,153.500
1997-06-01,151.600
1997-07-01,150.100
1997-08-01,149.000
1997-09-01,148.200
1997-10-01,147.300
1997-11-01,147.000
1997-12-01,147.400
1998-01-01,148.100
1998-02-01,148.700
1998-03-01,148.400
1998-04-01,148.900
1998-05-01,149.900
1998-06-01,150.800
1998-07-01,151.400
1998-08-01,151.400
1998-09-01,151.600
1998-10-01,152.000
1998-11-01,153.000
1998-12-01,152.400
1999-01-01,150.600
1999-02-01,148.300
1999-03-01,147.400
1999-04-01,148.300
1999-05-01,149.600
1999-06-01,150.900
1999-07-01,152.300
1999-08-01,153.800
1999-09-01,155.700
1999-10-01,156.400
1999-11-01,156.100
1999-12-01,155.000
2000-01-01,153.900
2000-02-01,153.000
2000-03-01,153.000
2000-04-01,154.000
2000-05-01,155.400
2000-06-01,155.700
2000-07-01,155.300
2000-08-01,155.200
2000-09-01,156.200
2000-10-01,157.900
2000-11-01,159.300
2000-12-01,160.200
2001-01-01,160.400
2001-02-01,160.400
2001-03-01,159.900
2001-04-01,159.700
2001-05-01,159.100
2001-06-01,158.900
2001-07-01,158.300
2001-08-01,158.000
2001-09-01,157.300
2001-10-01,157.800
2001-11-01,157.400
2001-12-01,157.200
2002-01-01,155.600
2002-02-01,153.900
2002-03-01,152.100
2002-04-01,151.800
2002-05-01,151.800
2002-06-01,152.200
2002-07-01,152.700
2002-08-01,153.400
2002-09-01,152.200
2002-10-01,150.700
2002-11-01,148.800
2002-12-01,148.500
2003-01-01,148.300
2003-02-01,148.400
2003-03-01,148.500
2003-04-01,148.400
2003-05-01,147.900
2003-06-01,147.400
2003-07-01,145.700
2003-08-01,143.300
2003-09-01,139.000
2003-10-01,135.100
2003-11-01,132.000
2003-12-01,131.000
2004-01-01,131.800
2004-02-01,131.800
2004-03-01,131.800
2004-04-01,131.600
2004-05-01,131.800
2004-06-01,129.900
2004-07-01,130.900
2004-08-01,132.000
2004-09-01,135.500
2004-10-01,136.700
2004-11-01,137.700
2004-12-01,138.400
2005-01-01,138.600
2005-02-01,138.400
2005-03-01,138.300
2005-04-01,138.400
2005-05-01,138.800
2005-06-01,139.300
2005-07-01,139.900
2005-08-01,140.100
2005-09-01,140.300
2005-10-01,140.200
2005-11-01,140.300
2005-12-01,140.200
2006-01-01,140.300
2006-02-01,140.400
2006-03-01,140.800
2006-04-01,141.000
2006-05-01,141.100
2006-06-01,141.000
2006-07-01,140.700
2006-08-01,140.400
2006-09-01,139.900
2006-10-01,139.000
2006-11-01,138.300
2006-12-01,137.200
2007-01-01,136.169
2007-02-01,135.533
2007-03-01,135.201
2007-04-01,134.995
2007-05-01,134.653
2007-06-01,134.570
2007-07-01,134.748
2007-08-01,135.255
2007-09-01,136.022
2007-10-01,136.707
2007-11-01,137.559
2007-12-01,137.855
2008-01-01,138.938
2008-02-01,138.818
2008-03-01,138.541
2008-04-01,137.659
2008-05-01,136.393
2008-06-01,135.020
2008-07-01,133.709
2008-08-01,132.535
2008-09-01,131.176
2008-10-01,129.407
2008-11-01,128.048
2008-12-01,127.323
2009-01-01,126.668
2009-02-01,124.405
2009-03-01,122.210
2009-04-01,121.887
2009-05-01,122.533
2009-06-01,123.236
2009-07-01,122.844
2009-08-01,125.011
2009-09-01,127.631
2009-10-01,132.475
2009-11-01,135.730
2009-12-01,139.376
2010-01-01,142.829
2010-02-01,143.173
2010-03-01,142.377
2010-04-01,141.680
2010-05-01,140.952
2010-06-01,141.951
2010-07-01,142.512
2010-08-01,143.420
2010-09-01,144.032
2010-10-01,144.313
2010-11-01,144.751
2010-12-01,145.669
2011-01-01,146.478
2011-02-01,146.182
2011-03-01,145.646
2011-04-01,145.542
2011-05-01,146.476
2011-06-01,148.518
2011-07-01,149.971
2011-08-01,151.312
2011-09-01,151.677
